slot_id,appointment_date,appointment_time,is_available
0000001,01/01/2015,08:00:00,FALSE
0000002,01/01/2015,08:15:00,FALSE
0000003,01/01/2015,08:30:00,FALSE
0000004,01/01/2015,08:45:00,FALSE
0000005,01/01/2015,09:00:00,FALSE
0000006,01/01/2015,09:15:00,FALSE
0000007,01/01/2015,09:30:00,FALSE
0000008,01/01/2015,09:45:00,FALSE
0000009,01/01/2015,10:00:00,FALSE
0000010,01/01/2015,10:15:00,FALSE
0000011,01/01/2015,10:30:00,FALSE
0000012,01/01/2015,10:45:00,FALSE
0000013,01/01/2015,11:00:00,FALSE
0000014,01/01/2015,11:15:00,FALSE
0000015,01/01/2015,11:30:00,FALSE
0000016,01/01/2015,11:45:00,TRUE
0000017,01/01/2015,12:00:00,FALSE
0000018,01/01/2015,12:15:00,FALSE
0000019,01/01/2015,12:30:00,FALSE
0000020,01/01/2015,12:45:00,FALSE
0000021,01/01/2015,13:00:00,FALSE
0000022,01/01/2015,13:15:00,FALSE
0000023,01/01/2015,13:30:00,FALSE
0000024,01/01/2015,13:45:00,FALSE
0000025,01/01/2015,14:00:00,FALSE
0000026,01/01/2015,14:15:00,TRUE
0000027,01/01/2015,14:30:00,FALSE
0000028,01/01/2015,14:45:00,FALSE
0000029,01/01/2015,15:00:00,FALSE
0000030,01/01/2015,15:15:00,FALSE
0000031,01/01/2015,15:30:00,FALSE
0000032,01/01/2015,15:45:00,FALSE
0000033,01/01/2015,16:00:00,FALSE
0000034,01/01/2015,16:15:00,FALSE
0000035,01/01/2015,16:30:00,FALSE
0000036,01/01/2015,16:45:00,FALSE
0000037,01/01/2015,17:00:00,FALSE
0000038,01/01/2015,17:15:00,FALSE
0000039,01/01/2015,17:30:00,FALSE
0000040,01/01/2015,17:45:00,FALSE
0000041,02/01/2015,08:00:00,FALSE
0000042,02/01/2015,08:15:00,FALSE
0000043,02/01/2015,08:30:00,FALSE
0000044,02/01/2015,08:45:00,FALSE
0000045,02/01/2015,09:00:00,FALSE
0000046,02/01/2015,09:15:00,FALSE
0000047,02/01/2015,09:30:00,FALSE
0000048,02/01/2015,09:45:00,FALSE
0000049,02/01/2015,10:00:00,TRUE
0000050,02/01/2015,10:15:00,FALSE
0000051,02/01/2015,10:30:00,FALSE
0000052,02/01/2015,10:45:00,FALSE
0000053,02/01/2015,11:00:00,FALSE
0000054,02/01/2015,11:15:00,FALSE
0000055,02/01/2015,11:30:00,TRUE
0000056,02/01/2015,11:45:00,FALSE
0000057,02/01/2015,12:00:00,FALSE
0000058,02/01/2015,12:15:00,TRUE
0000059,02/01/2015,12:30:00,FALSE
